www.youtube.com
breadth
2
None
         22477727 function calls (22476141 primitive calls) in 49.900 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 ntpath.py:309(expanduser)
        2    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      188    0.000    0.000    0.001    0.000 os.py:664(__getitem__)
      180    0.000    0.000    0.000    0.000 os.py:687(__iter__)
      188    0.000    0.000    0.000    0.000 os.py:728(check_str)
      188    0.000    0.000    0.000    0.000 os.py:734(encodekey)
       37    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        1    0.000    0.000    0.000    0.000 parse.py:146(username)
        6    0.000    0.000    0.000    0.000 parse.py:154(hostname)
        1    0.000    0.000    0.000    0.000 parse.py:178(_userinfo)
        6    0.000    0.000    0.000    0.000 parse.py:190(_hostinfo)
        1    0.000    0.000    0.000    0.000 parse.py:325(geturl)
       15    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.000    0.000 parse.py:386(_splitnetloc)
       18    0.000    0.000    0.000    0.000 parse.py:394(urlsplit)
        2    0.000    0.000    0.000    0.000 parse.py:433(<genexpr>)
        2    0.000    0.000    0.000    0.000 parse.py:450(urlunparse)
        2    0.000    0.000    0.000    0.000 parse.py:461(urlunsplit)
        1    0.000    0.000    0.000    0.000 parse.py:600(unquote)
        5    0.000    0.000    0.000    0.000 parse.py:747(quote)
        5    0.000    0.000    0.000    0.000 parse.py:808(quote_from_bytes)
        1    0.000    0.000    0.000    0.000 parse.py:830(urlencode)
       37    0.000    0.000    0.000    0.000 parse.py:98(_noop)
        1    0.000    0.000    0.000    0.000 parser.py:18(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:42(parse)
        1    0.000    0.000    0.000    0.000 parser.py:60(parsestr)
        2    0.000    0.000    0.000    0.000 poolmanager.py:151(__init__)
        1    0.000    0.000    0.002    0.002 poolmanager.py:155(<lambda>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:170(_new_pool)
        2    0.000    0.000    0.002    0.001 poolmanager.py:197(clear)
        1    0.000    0.000    0.000    0.000 poolmanager.py:206(connection_from_host)
        1    0.000    0.000    0.000    0.000 poolmanager.py:229(connection_from_context)
        1    0.000    0.000    0.000    0.000 poolmanager.py:242(connection_from_pool_key)
